"saf_id","n_adj","tipo","med_real","share_directa","min_ej","n_loc","med_km","presupuesto","estructura","dotacion","A_escala","A_directa","A_tipo","A_cohorte","A_anclaje","A_institucional","A_presupuesto","S_dotacion"
"377",23,"infraestructura",24150680.163927,0.173913043478261,2024,1,0,56837.743293,"otro",NA,"grande","mixto","infraestructura","2022plus","una_sede","otro","alto","sin_dato"
"379",19154,"seguridad_defensa",3245448.36985017,0.0996136577216247,2018,9,26.8702955922759,224227.02234,"administracion_desconcentrada",7350,"chica","mixto","seguridad_defensa","pre2019","multi_sede","administracion_desconcentrada","alto","3"
"380",388,"seguridad_defensa",59970687.2320068,0.095360824742268,2018,1,0,224082.813005,"administracion_desconcentrada",505,"grande","mixto","seguridad_defensa","pre2019","una_sede","administracion_desconcentrada","alto","2"
"381",15416,"seguridad_defensa",1834448.08629175,0.556564608199273,2018,9,20.8815830195132,192667.75281,"administracion_desconcentrada",5479,"chica","mayoria_directa","seguridad_defensa","pre2019","multi_sede","administracion_desconcentrada","alto","3"
"382",371,"seguridad_defensa",9340310.79,0.444743935309973,2017,1,0,52654.879997,"administracion_desconcentrada",724,"media","mixto","seguridad_defensa","pre2019","una_sede","administracion_desconcentrada","medio","2"
"386",170,"salud_social",8065397.67214621,0.558823529411765,2020,1,0,NA,"administracion_centralizada",NA,"media","mayoria_directa","salud_social","2019_21","una_sede","administracion_centralizada","sin_presupuesto","sin_dato"
"388",33,"salud_social",1992749.81313378,0.484848484848485,2024,1,0,141846.263018,"administracion_centralizada",NA,"chica","mixto","salud_social","2022plus","una_sede","administracion_centralizada","alto","sin_dato"
"389",7,"administracion",7184430.83092962,0.142857142857143,2025,1,0,NA,"administracion_centralizada",NA,"media","mixto","administracion","2022plus","una_sede","administracion_centralizada","sin_presupuesto","sin_dato"
"403",1689,"seguridad_defensa",14865952.6967805,0.158673771462404,2019,1,0,NA,"administracion_descentralizada",NA,"grande","mixto","seguridad_defensa","2019_21","una_sede","administracion_descentralizada","sin_presupuesto","sin_dato"
"450",318,"ciencia_universidad",1817910.45225533,0.827044025157233,2017,1,0,2441.03254,"administracion_descentralizada",269,"chica","mayoria_directa","ciencia_universidad","pre2019","una_sede","administracion_descentralizada","bajo","1"
