unidad_ejecutora_id,unidad_ejecutora_desc
637,Tesorería General de la Nación
638,Tribunal Fiscal de la Nación
639,Tribunal de Tasaciones de la Nación
640,Tribunales Orales Correspondientes
641,Tribunales Penales Orales Federales de la Ciudad Autónoma de Buenos Aires
644,U.A.P. BID 989 OC/AR
646,Subsecretaría de Organización de Ingresos Sociales
647,Subsecretaría de Comercialización de la Economía Social
648,Unidad Ejecutora del Préstamo FONPLATA ARG 18/06
649,Coordinación General Unidad Ejecutora Ingreso Social con Trabajo
651,Unidad Ejecutora del Préstamo BID 1101/OC-AR
655,Coordinación del Programa de Formación - PROFOR
658,Unidad Administrador General
660,Unidad Coordinadora Prog.Modern.Port.
662,Unidad Ejecutora Central
663,Comisión Bicameral Commemoración Bicentenarios 2010-2016
668,Dirección General del Servicio Logístico de la Defensa
669,Subsecretaría de Desarrollo Inversiones y Promoción Comercial
670,Comando de Educación
671,Directorio de la Autoridad Federal Servicios Comunicación Audiovisual
672,Instituto de Investigaciones Científicas y Técnicas para la Defensa
673,Instituto Geográfico Nacional
674,Dir.Gral. Producción
675,Dirección General de Administración
678,Dirección General Servicios Geográficos
679,Unidad de Tecnologías de la Información IGN
682,Dirección Nacional de Presupuesto e Información Universitaria
683,Unidad Ejecutora del Préstamo BID 899 PROSAP Y BIRF 4150
684,Unidad Ejecutora del Préstamo BID 1896/OC-AR
686,Dirección Nacional de Políticas Socioeducativas
688,Secretaría de la Pequeña y Mediana Empresa y Desarrollo Regional
689,Unidad Ejecutora del Préstamo BIRF 3948/AR
691,Unidad Ejecutora del Préstamo FIDA
692,Unidad de Coordinación General del Proyecto BIRF 7706-AC
694,Unidad Ministro
696,Unidad Ministro y Unidades de Apoyo
697,Secretaría de Turismo
698,Administrador General de la Defensoría General de la Nación
699,Secretaría de Contralor
700,Secretaría de Desarrollo y Promoción
701,Unidad Secretario
704,Ministerio de Seguridad
705,Coordinación de Asistencia Directa a Instituciones
706,Dirección General de Administración y Finanzas
707,Dirección General de Personal y Bienestar
708,Unidad Subsecretario de Recursos Hídricos
709,Unidad Superintendencia de Seguros
710,Unidad Vicepresidente
711,Dirección General de Inteligencia
712,Unidad de Auditoría Interna
713,Unidad de Coordinación
715,Dirección General de Investigación y Desarrollo
716,Comando de Adiestramiento y Alistamiento
717,Dirección General de Logística
718,Unidad de Informática
719,Dirección de Ingenieros e Infraestructura
720,Comisión Parlamentaria Mixta Revisora de Cuentas
721,Comando Conjunto Antártico
724,Dirección del Instituto del Servicio Exterior de la Nación
725,Dirección Nacional de Ceremonial
726,"Dirección General de Infraestructura, Servicios y Administración de Bienes"
727,Secretaría de Relaciones Exteriores
728,Subsecretaría de Política Exterior
730,Secretaría de Culto y Civilización
731,Secretaría Relaciones Económicas Internacionales
732,Subsecretaría de Integración Económica Latinoamericana y Mercosur
733,Subsecretaría de Comercio Internacional
734,Comisión Cascos Blancos
735,Organismo Nacional de Administración de Bienes
736,Secretaría de Finanzas
737,Subsecretaría de Servicios Financieros
738,Subsecretaría de Financiamiento
739,"Dirección General de Gestión Tecnica, Administrativa y Legal"
740,Dirección Nacional de.Programación Cultural y Eventos Especiales
741,Dirección Nacional de Política Cultural y Cooperación Internacional
744,Subsecretaría de Cultura
745,Directorio del Instituto Nacional de la Propiedad Industrial
746,Administración Nacional de Patentes
747,Dirección de Marcas
748,Coordinación de Gestión
749,Coordinación BID VI - 857
751,Coordinación PROSAC
754,Coordinación BIRF 4484
756,Directorio - Gerencia de Administración y Recursos
757,Directorio - Gerencia de Relaciones Institucionales
758,Directorio - Gerencias de Control y de Ingeniería
759,Gerencia de Control
760,Gerencia de Ingeniería
762,Directorio - Gerencia de Servicios Postales
763,Area Estadística Postal y Control de Calidad
766,Directorio ORSNA
771,"Dirección General de Administración, Finanzas y Recursos Humanos"
775,Instituto Superior de Enseñanza Radiofónica
777,Consejo Directivo y Dirección Nacional
782,Centro Nacional de Investigación Agropecuaria e Instituto de Economía y Sociología
783,Dirección del Centro de Investigación en Ciencias Veterinarias y Agronómicas
784,Dirección del Centro de Investigación en Recursos Naturales
785,Dirección del Centro de Investigación en Agroindustria
786,Dirección del Instituto de Economía y Sociología
787,Centros Regionales y Estaciones Experimentales Agropecuarias
790,Agencias de Extensión Rural y Unidad de Comunicaciones
795,Area Planeamiento - Instituto Geográfico Militar
801,Servicio Dermatolepromina
805,Directorio del INCUCAI
806,Dirección Médica
807,Dirección Científico Técnica
808,Hospital Nacional y Comunidad “Dr. Ramón Carrillo”
809,Dirección General del Instituto Nacional de Rehabilitación Psicofísica del Sur
810,Instituto Nacional de Rehabilitación Psicofísica del Sur Dr. Juan Otimio Tesone
811,Subsecretaría de Coordinación del Ministerio de Salud
813,Unidad Ministro del Ministerio de Salud
818,"Unidad Secretario de la Secretaría de Agricultura, Ganadería, Pesca y Alimentación"
820,Unidad Ministro Ministerio de Justicia y Derechos Humanos
822,Subsecretaría de Coordinación del Ministerio de Justicia y Derechos Humanos
823,Dirección General de Asuntos  Jurídicos
824,Dirección General de Gestión Informática
826,Dirección Nacional de Política Criminal
827,Dirección Nacional del Registro Nacional de Reincidencia
829,Dirección Nacional del Registro Oficial
830,Dirección de Aviación del Ejército
831,Dirección Nacional de los Registros Nacionales de la Propiedad Automotor
833,Dirección Nacional de Promoción de Métodos Participativos de Justicia
834,Subsecretaría de Derechos Humanos
835,Oficina Anticorrupción
836,Gerencia de Obras y Servicios Viales
841,Dirección de Estadísticas e Información en Salud
847,Direccion FONCYT
849,Dirección Nacional de Gendarmería Nacional
851,Dirección General de Educación
852,Dirección General de Operaciones
853,Dirección General de Salud
854,Dirección de Remonta y Veterinaria
855,Dirección de Logística
857,Unidad Ministro del Ministerio
859,Dirección Nacional Técnico Deportiva
862,Laboratorio de Control Antidoping
864,Dirección General de Inteligencia Naval
872,Secretaría de Políticas Sociales
874,Instituto Nacional de Asuntos Indígenas
878,Unidad Ejecutora (BIRF 4085-AR)
886,Coordinación General de Formación Docente
893,Coordinación General de Infraestructura
896,Dirección Nacional de Cooperación e Integración Educativa Internacional
897,Coordinación del Progrma de Financiamiento de la Educación Superior
902,Dirección General de Investigación y Desarrollo de la Armada
