"organismo","n_adj","tipo","anclaje_flag","med_real","share_directa","min_ej","n_loc","med_km","n_geo","A_escala","A_directa","A_tipo","A_cohorte","A_anclaje","A_alcance"
"311 - Desarrollo Humano y Economía Solidaria",78,"salud_social",FALSE,1534047.85340379,0.294871794871795,2024,1,0,76,"chica","mixto","salud_social","2022plus","bajo","corto"
"311 - Ministerio de Desarrollo Social",626,"salud_social",FALSE,222511962.967591,0.389776357827476,2017,1,11.6463251424493,613,"grande","mixto","salud_social","pre2019","bajo","largo"
"311 - Ministerio de Salud y Desarrollo Social",422,"salud_social",FALSE,192547807.561704,0.388625592417062,2016,1,14.1866837613552,407,"grande","mixto","salud_social","pre2019","bajo","largo"
"317 - Ministerio de Ambiente y Desarrollo Sostenible",350,"administracion",FALSE,8335345.81031435,0.431428571428571,2020,1,0,349,"media","mixto","administracion","2019_21","bajo","corto"
"317 - Ministerio de Ambiente y Desarrollo Sustentable",2,"administracion",FALSE,356753.384247008,0,2017,1,5.39204174359612,2,"chica","sin_directa","administracion","pre2019","bajo","largo"
"317 - Secretaría de Gobierno de Ambiente y Desarrollo Sustentable",74,"administracion",FALSE,8537279.15026572,0.391891891891892,2017,1,0,71,"media","mixto","administracion","pre2019","bajo","corto"
"321 - Instituto Nacional de Estadísticas y Censos",346,"administracion",FALSE,12109013.6281629,0.23121387283237,2017,1,0,343,"grande","mixto","administracion","pre2019","bajo","corto"
"322 - Ministerio de Turismo",1,"administracion",FALSE,4079298.81737472,0,2018,1,642.212438628843,1,"chica","sin_directa","administracion","pre2019","bajo","largo"
"322 - Ministerio de Turismo y Deportes",572,"administracion",FALSE,14483863.0217329,0.295454545454545,2020,1,0,561,"grande","mixto","administracion","2019_21","bajo","corto"
"322 - Secretaría de Gobierno de Turismo",82,"administracion",FALSE,10445263.4078107,0.524390243902439,2017,1,0,81,"media","mayoria_directa","administracion","pre2019","bajo","corto"
"323 - Comision Nacional de Comercio Exterior",66,"administracion",FALSE,1166655.25921531,0.803030303030303,2017,1,0,65,"chica","mayoria_directa","administracion","pre2019","bajo","corto"
"325 - Ministerio del Interior",388,"administracion",FALSE,11999191.3612874,0.309278350515464,2020,1,0,384,"grande","mixto","administracion","2019_21","bajo","corto"
"325 - Ministerio del Interior; Obras Públicas y Vivienda",108,"infraestructura",FALSE,25955719.5180577,0.222222222222222,2017,1,0,107,"grande","mixto","infraestructura","pre2019","bajo","corto"
"326 - Super Intendencia de la Administracion de la Policia Federal",266,"seguridad_defensa",FALSE,38012024.262504,0.206766917293233,2018,1,0,262,"grande","mixto","seguridad_defensa","pre2019","bajo","corto"
"327 - Ministerio de Transporte",246,"infraestructura",FALSE,11373757.6862169,0.434959349593496,2017,1,0,245,"grande","mixto","infraestructura","pre2019","bajo","corto"
"328 - Secretaría de Energía",18,"administracion",FALSE,9027728.47567036,1,2020,1,0,18,"media","mayoria_directa","administracion","2019_21","bajo","corto"
"328 - Secretaría de Gobierno de Energía",34,"administracion",FALSE,7873655.84360097,0.5,2016,1,0,34,"media","mixto","administracion","pre2019","bajo","corto"
"330 - Ministerio de Educación",1,"cultura_educacion",FALSE,1552674.29035024,0,2017,1,0,1,"chica","sin_directa","cultura_educacion","pre2019","bajo","corto"
"330 - Ministerio de Educación; Cultura; Ciencia y Tecnología",122,"cultura_educacion",FALSE,108470043.081111,0.270491803278689,2017,1,0,120,"grande","mixto","cultura_educacion","pre2019","bajo","corto"
